,preqin,score,unpri match,Firm Name,preqin_clean
2138,senrigan capital,0.8,,Senrigan Capital,senrigan capital
2139,anthos asset management,0.8837209302325582,,Anthos Asset Management,anthos asset management
2140,town of farmington pension trust fund,0.6285714285714286,,Town of Farmington Pension Trust Fund,town of farmington pension trust fund
2141,salient capital advisors,0.75,,Salient Capital Advisors,salient capital advisors
2142,wave equity partners,1.0,wave equity partners,WAVE Equity Partners,wave equity partners
2143,northern trust custody services,0.6451612903225806,,Northern Trust Custody Services,northern trust custody services
2144,wells fargo,0.5,,Wells Fargo,wells fargo
2145,wells fargo,0.5,,Wells Fargo,wells fargo
2146,wells fargo,0.5,,Wells Fargo,wells fargo
2147,evolem,1.0,evolem,Evolem,evolem
2148,monroe capital,0.8275862068965517,,Monroe Capital,monroe capital
2149,berkeley energy,0.6666666666666666,,Berkeley Energy,berkeley energy
2150,ruffer,0.75,,Ruffer,ruffer
2151,prime capital ag,0.7692307692307693,,Prime Capital AG,prime capital ag
2152,greenwoods asset management,0.8,,Greenwoods Asset Management,greenwoods asset management
2153,wisdomtree,0.5217391304347826,,WisdomTree,wisdomtree
2154,kgal gmbh & co kg,0.9714285714285714,kgal gmbh & co. kg,KGAL GmbH & Co KG,kgal gmbh & co kg
2155,aviva life and pensions,0.7906976744186046,,Aviva Life and Pensions,aviva life and pensions
2156,belfius private equity,0.8095238095238095,,Belfius Private Equity,belfius private equity
2157,city of grand rapids police & fire retirement system,0.6451612903225806,,City of Grand Rapids Police & Fire Retirement System,city of grand rapids police & fire retirement system
2158,stanislaus county employees' retirement association,0.8108108108108109,,Stanislaus County Employees' Retirement Association,stanislaus county employees' retirement association
2159,ebay inc.,0.7,,eBay Inc.,ebay inc.
2160,china asset management,0.926829268292683,,China Asset Management,china asset management
2161,hauck & aufhäuser asset management services,0.6486486486486487,,Hauck & Aufhäuser Asset Management Services,hauck & aufhäuser asset management services
2162,amundi private equity funds,0.7407407407407407,,Amundi Private Equity Funds,amundi private equity funds
2163,holyoke partners,0.7272727272727273,,Holyoke Partners,holyoke partners
2164,merritt capital,0.7407407407407407,,Merritt Capital,merritt capital
2165,merritt capital,0.7407407407407407,,Merritt Capital,merritt capital
2166,merritt capital,0.7407407407407407,,Merritt Capital,merritt capital
2167,zeal asset management,0.9047619047619048,,Zeal Asset Management,zeal asset management
2168,tilden park capital management,0.8518518518518519,,Tilden Park Capital Management,tilden park capital management
2169,bankhaus carl spangler & company,0.5671641791044776,,Bankhaus Carl Spangler & Company,bankhaus carl spangler & company
2170,blue harbour group,0.8571428571428571,,Blue Harbour Group,blue harbour group
2171,celpos,0.5454545454545454,,Celpos,celpos
2172,celpos,0.5454545454545454,,Celpos,celpos
2173,fall river retirement board,0.6222222222222222,,Fall River Retirement Board,fall river retirement board
2174,fajr capital,0.8181818181818182,,Fajr Capital,fajr capital
2175,responsability,0.6511627906976745,,responsAbility,responsability
2176,8 miles,1.0,8 miles,8 Miles,8 miles
2177,columna capital,1.0,columna capital,Columna Capital,columna capital
2178,wiltshire pension fund,0.8095238095238095,,Wiltshire Pension Fund,wiltshire pension fund
2179,resource management service,0.9152542372881356,,Resource Management Service,resource management service
2180,beltone financial,0.7567567567567568,,Beltone Financial,beltone financial
2181,legg mason global asset management,0.8571428571428571,,Legg Mason Global Asset Management,legg mason global asset management
2182,water asset management l.l.c,0.9629629629629629,water asset management llc,Water Asset Management L.L.C,water asset management l.l.c
2183,conservative concept portfolio management ag,1.0,conservative concept portfolio management ag,Conservative Concept Portfolio Management AG,conservative concept portfolio management ag
2184,artemis real estate partners,0.6909090909090909,,Artemis Real Estate Partners,artemis real estate partners
2185,uaw retiree medical benefits trust,1.0,uaw retiree medical benefits trust,UAW Retiree Medical Benefits Trust,uaw retiree medical benefits trust
2186,university of victoria foundation,0.8,,University of Victoria Foundation,university of victoria foundation
2187,bank of singapore,0.5185185185185185,,Bank of Singapore,bank of singapore
2188,sk securities private equity,0.72,,SK Securities Private Equity,sk securities private equity
2189,nrep,0.6,,NREP,nrep
2190,nrep,0.6,,NREP,nrep
2191,catella capital,0.7857142857142857,,Catella Capital,catella capital
2192,catella capital,0.7857142857142857,,Catella Capital,catella capital
2193,new horizon capital (japan),0.7391304347826086,,New Horizon Capital (Japan),new horizon capital (japan)
2194,east bay municipal utility district employees retirement system,0.6923076923076923,,East Bay Municipal Utility District Employees Retirement System,east bay municipal utility district employees retirement system
2195,east bay municipal utility district employees retirement system,0.6923076923076923,,East Bay Municipal Utility District Employees Retirement System,east bay municipal utility district employees retirement system
2196,marguerite,0.625,,Marguerite,marguerite
2197,dow chemical company,0.5833333333333334,,Dow Chemical Company,dow chemical company
2198,diamond realty management (dream),0.8253968253968254,,Diamond Realty Management (DREAM),diamond realty management (dream)
2199,pernet von ballmoos,0.5454545454545454,,Pernet von Ballmoos,pernet von ballmoos
2200,anglian water pension scheme,0.7272727272727273,,Anglian Water Pension Scheme,anglian water pension scheme
2201,bnp paribas real estate investment services,0.8210526315789474,,BNP Paribas Real Estate Investment Services,bnp paribas real estate investment services
2202,ars investment partners,0.8888888888888888,,ARS Investment Partners,ars investment partners
2203,ars investment partners,0.8888888888888888,,ARS Investment Partners,ars investment partners
2204,ars investment partners,0.8888888888888888,,ARS Investment Partners,ars investment partners
2205,knight frank investment managers,0.7741935483870968,,Knight Frank Investment Managers,knight frank investment managers
2206,australian capital territory department of treasury,0.7088607594936709,,Australian Capital Territory Department of Treasury,australian capital territory department of treasury
2207,xinxiang municipal government,0.6229508196721312,,Xinxiang Municipal Government,xinxiang municipal government
2208,brz investimentos,0.8717948717948718,,BRZ Investimentos,brz investimentos
2209,brasil capital,0.8,,Brasil Capital,brasil capital
2210,paul hamlyn foundation,1.0,paul hamlyn foundation,Paul Hamlyn Foundation,paul hamlyn foundation
2211,northern trust wealth management,0.8888888888888888,,Northern Trust Wealth Management,northern trust wealth management
2212,marshall street management,0.7659574468085106,,Marshall Street Management,marshall street management
2213,brasilprev,0.631578947368421,,Brasilprev,brasilprev
2214,iag & nrma superannuation plan,0.835820895522388,,IAG & NRMA Superannuation Plan,iag & nrma superannuation plan
2215,jd capital,1.0,jd capital,JD Capital,jd capital
2216,uwv pension fund,0.8387096774193549,,UWV Pension Fund,uwv pension fund
2217,"reynders, mcveigh capital management",0.7333333333333333,,"Reynders, McVeigh Capital Management","reynders, mcveigh capital management"
2218,"reynders, mcveigh capital management",0.7333333333333333,,"Reynders, McVeigh Capital Management","reynders, mcveigh capital management"
